eventID,measurementValue,measurementType,measurementTypeID,measurementValueID,measurementUnit,measurementUnitID,measurementID,occurrenceID
IYS2022-TINRO-3-17-Trawl,4000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-17-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-18-Trawl,4500,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-18-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-19-Trawl,4400,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-19-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-20-Trawl,4000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-20-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-21-Trawl,5000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-21-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-22-Trawl,4500,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-22-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-23-Trawl,4000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-23-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-24-Trawl,3800,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-24-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-25-Trawl,4000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-25-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-26-Trawl,4800,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-26-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-27-Trawl,4000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-27-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-28-Trawl,4600,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-28-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-29-Trawl,5000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-29-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-30-Trawl,5000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-30-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-31-Trawl,4300,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-31-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-32-Trawl,5100,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-32-Trawl-Bottom_Depth_Meters,NA
